date,fixture,prompt,model,skill_version,diff_file,p1_detected,p1_fixed,p2_detected,p2_fixed,p3_detected,p3_fixed,p4_detected,p4_fixed,p5_detected,p5_fixed,tests_pass,notes
2026-03-11,hono-drizzle-app,A,opus-4.6-high-effort,,01_20260311_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,baseline - no skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,,02_20260312_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,baseline - no skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,,03_20260312_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,baseline - no skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,,04_20260312_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,baseline - no skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,,05_20260312_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,baseline - no skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,,06_20260312_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,baseline - no skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,,07_20260312_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,baseline - no skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,v001,08_20260312_A_v001.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,v001,09_20260312_B_v001.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,v001,10_20260312_A_v001.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,v001,10_20260312_B_v001.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,v002,12_20260312_A_v002.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,v002,13_20260312_B_v002.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,A,opus-4.6-high-effort,v002,14_20260312_A_v002.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,with skill
2026-03-12,hono-drizzle-app,B,opus-4.6-high-effort,v002,15_20260312_B_v002.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,with skill
